title,category,date,news_url,summary
"Ukraine sees quieter night as Trump says Putin will not attack its cities",Europe,2026-01-30,https://www.bbc.com/news/articles/c4g4yj92kwro,"Russia said the US president requested a pause in strikes on Kyiv until 1 February due to cold weather."
"In this US county, measles starts to feel like next pandemic","US & Canada",2026-01-30,https://www.bbc.com/news/articles/cwy10l9lwpyo,"Health experts warn that low vaccination rates could lead to recurring measles outbreaks."
"China has lifted sanctions on six British MPs and peers",Politics,2026-01-30,https://www.bbc.com/news/articles/clyel3z9xxno,"UK prime minister says sanctions no longer apply and hopes for improved relations with China."
"Why Iran's response to a US attack could be different this time",World,2026-01-30,https://www.bbc.com/news/articles/cn9z497g4vvo,"Iran signals a potentially stronger response to any future US military action."
"Panama voids Hong Kong-based firm's canal port contracts",World,2026-01-30,https://www.bbc.com/news/articles/c338ygzl7meo,"Panama cancels contracts amid geopolitical tensions involving the US and China."
"BBC visits run-down Venezuela oil towns hoping for US-funded revival","Latin America",2026-01-29,https://www.bbc.com/news/articles/ckgnp8n40reo,"Venezuelan oil towns hope US investment can revive deteriorating infrastructure."
"Why the US dollar hit a four-year low and could fall further",Business,2026-01-29,https://www.bbc.com/news/articles/czjg2rlyvyzo,"Market volatility raises concerns about the long-term strength of the US dollar."
"Republicans and Democrats reach funding package deal","US & Canada",2026-01-29,https://www.bbc.com/news/articles/cn9zp0nyvxdo,"US lawmakers agree on a temporary funding deal to avoid government shutdown."
"Syrian government reaches deal with Kurdish-led forces","Middle East",2026-01-29,https://www.bbc.com/news/articles/cz0pj0n0yk3o,"The Syrian government reaches a political agreement with Kurdish-led groups."
"Man accused of impersonating FBI agent","US & Canada",2026-01-29,https://www.bbc.com/news/articles/c4g0y6yp2vno,"A suspect allegedly posed as an FBI agent to influence a legal case."
"Trump and his sons sue IRS and US Treasury","US & Canada",2026-01-29,https://www.bbc.com/news/articles/c23ryyrx40yo,"Trump family files lawsuit over alleged tax information leaks."
"Respect Canadian sovereignty, Carney tells US officials","US & Canada",2026-01-28,https://www.bbc.com/news/articles/cr57j780pgmo,"Canadian leaders stress national sovereignty in talks with US officials."
"Why China moved so quickly to execute mafia family members",Asia,2026-01-28,https://www.bbc.com/news/articles/cd6wegndnjlo,"China executes members of a crime family involved in cross-border scam operations."
"Canada's conservative leader faces leadership test","US & Canada",2026-01-28,https://www.bbc.com/news/articles/cdexjngngdgo,"Political analysts assess leadership challenges ahead of party review."
"Music legend Fela Kuti receives Grammy Lifetime Achievement Award",Africa,2026-01-28,https://www.bbc.com/news/articles/czx1207757xo,"Fela Kuti becomes the first African artist to receive the prestigious award."
"Weekly quiz: Which record is Harry Styles set to break?",Culture,2026-01-28,https://www.bbc.com/news/articles/cvgrzyv6pqqo,"A weekly quiz testing readers’ knowledge of recent global events."
"Healthcare, visas and whisky from UK-China talks",Business,2026-01-27,https://www.bbc.com/news/articles/cm2j04lk83zo,"UK and China agree on cooperation in visas, healthcare, and green technology."
"Treasures found on planned UK rail route","Science & Environment",2026-01-27,https://www.bbc.com/news/articles/c93v21q5xdvo,"Archaeological discoveries emerge along the HS2 rail project route."
"Trump says US hopes to avoid military force on Iran","Middle East",2026-01-27,https://www.bbc.com/news/articles/c394ymdpjwvo,"Trump states diplomacy is preferred but conditions must be met by Iran."
"Worried families urge return of ship crew seized by Iran",World,2026-01-27,https://www.bbc.com/news/articles/cdrenj55gdvo,"Families appeal for the safe return of crew members detained by Iran."
"Apple reports best-ever iPhone sales",Technology,2026-01-26,https://www.bbc.com/news/articles/cy8yw190q83o,"Strong iPhone sales offset declining Mac computer revenue."
"Burkina Faso junta bans all political parties",Africa,2026-01-26,https://www.bbc.com/news/articles/cevnlv9my1no,"Military government dissolves political parties citing national unity."
"Trump warns UK against doing business with China",World,2026-01-26,https://www.bbc.com/news/articles/c0keyyeyr41o,"Trump criticizes UK-China economic relations during diplomatic visit."
"Indonesian couple caned for sex and alcohol offences",Asia,2026-01-26,https://www.bbc.com/news/articles/c23ryxre907o,"Local court sentences couple under regional law."
"Trump threatens tariffs on Canada and oil exporters",World,2026-01-25,https://www.bbc.com/news/articles/c74vyr44xn3o,"Trump proposes new tariffs affecting Canada and countries trading with Cuba."
